word_count =       10440
yaa! in = 1, out = 1, w_ct =         118, err = 01
yaa! in = 1, out = 1, w_ct =         119, err = 01
yaa! in = 1, out = 1, w_ct =         120, err = 01
yaa! in = 1, out = 1, w_ct =         121, err = 01
yaa! in = 0, out = 0, w_ct =         122, err = 01
yaa! in = 0, out = 0, w_ct =         123, err = 01
yaa! in = 1, out = 1, w_ct =         124, err = 01
yaa! in = 0, out = 0, w_ct =         125, err = 01
yaa! in = 0, out = 0, w_ct =         126, err = 01
yaa! in = 0, out = 0, w_ct =         127, err = 01
yaa! in = 0, out = 0, w_ct =         128, err = 01
yaa! in = 0, out = 0, w_ct =         129, err = 01
yaa! in = 0, out = 0, w_ct =         130, err = 01
yaa! in = 0, out = 0, w_ct =         131, err = 01
yaa! in = 0, out = 0, w_ct =         132, err = 01
yaa! in = 0, out = 0, w_ct =         133, err = 01
yaa! in = 0, out = 0, w_ct =         134, err = 01
yaa! in = 0, out = 0, w_ct =         135, err = 01
yaa! in = 0, out = 0, w_ct =         136, err = 01
yaa! in = 1, out = 1, w_ct =         137, err = 01
yaa! in = 1, out = 1, w_ct =         138, err = 01
yaa! in = 1, out = 1, w_ct =         139, err = 01
yaa! in = 1, out = 1, w_ct =         140, err = 01
yaa! in = 1, out = 1, w_ct =         141, err = 01
yaa! in = 1, out = 1, w_ct =         142, err = 01
yaa! in = 1, out = 1, w_ct =         143, err = 01
yaa! in = 1, out = 1, w_ct =         144, err = 01
yaa! in = 1, out = 1, w_ct =         145, err = 01
yaa! in = 1, out = 1, w_ct =         146, err = 01
yaa! in = 0, out = 0, w_ct =         147, err = 01
yaa! in = 1, out = 1, w_ct =         148, err = 01
yaa! in = 1, out = 1, w_ct =         149, err = 01
yaa! in = 1, out = 1, w_ct =         150, err = 01
yaa! in = 1, out = 1, w_ct =         151, err = 01
yaa! in = 1, out = 1, w_ct =         152, err = 01
yaa! in = 1, out = 1, w_ct =         153, err = 01
yaa! in = 1, out = 1, w_ct =         154, err = 01
yaa! in = 1, out = 1, w_ct =         155, err = 01
yaa! in = 1, out = 1, w_ct =         156, err = 01
yaa! in = 1, out = 1, w_ct =         157, err = 01
yaa! in = 1, out = 1, w_ct =         158, err = 01
yaa! in = 1, out = 1, w_ct =         159, err = 01
yaa! in = 1, out = 1, w_ct =         160, err = 01
yaa! in = 1, out = 1, w_ct =         161, err = 01
yaa! in = 1, out = 1, w_ct =         162, err = 01
yaa! in = 1, out = 1, w_ct =         163, err = 01
yaa! in = 1, out = 1, w_ct =         164, err = 01
yaa! in = 1, out = 1, w_ct =         165, err = 01
yaa! in = 1, out = 1, w_ct =         166, err = 01
yaa! in = 1, out = 1, w_ct =         167, err = 01
yaa! in = 1, out = 1, w_ct =         168, err = 01
yaa! in = 1, out = 1, w_ct =         169, err = 01
yaa! in = 1, out = 1, w_ct =         170, err = 01
yaa! in = 1, out = 1, w_ct =         171, err = 01
yaa! in = 1, out = 1, w_ct =         172, err = 01
yaa! in = 1, out = 1, w_ct =         173, err = 01
yaa! in = 1, out = 1, w_ct =         174, err = 01
yaa! in = 1, out = 1, w_ct =         175, err = 01
yaa! in = 1, out = 1, w_ct =         176, err = 01
yaa! in = 1, out = 1, w_ct =         177, err = 01
yaa! in = 1, out = 1, w_ct =         178, err = 01
yaa! in = 1, out = 1, w_ct =         179, err = 01
yaa! in = 1, out = 1, w_ct =         180, err = 01
yaa! in = 1, out = 1, w_ct =         181, err = 01
yaa! in = 1, out = 1, w_ct =         182, err = 01
yaa! in = 1, out = 1, w_ct =         183, err = 01
yaa! in = 1, out = 1, w_ct =         184, err = 01
yaa! in = 1, out = 1, w_ct =         185, err = 01
yaa! in = 1, out = 1, w_ct =         186, err = 01
yaa! in = 1, out = 1, w_ct =         187, err = 01
yaa! in = 1, out = 1, w_ct =         188, err = 01
yaa! in = 1, out = 1, w_ct =         189, err = 01
yaa! in = 1, out = 1, w_ct =         190, err = 01
yaa! in = 1, out = 1, w_ct =         191, err = 01
yaa! in = 1, out = 1, w_ct =         192, err = 01
yaa! in = 1, out = 1, w_ct =         193, err = 01
yaa! in = 1, out = 1, w_ct =         194, err = 01
yaa! in = 1, out = 1, w_ct =         195, err = 01
yaa! in = 1, out = 1, w_ct =         196, err = 01
yaa! in = 1, out = 1, w_ct =         197, err = 01
yaa! in = 1, out = 1, w_ct =         198, err = 01
yaa! in = 1, out = 1, w_ct =         199, err = 01
yaa! in = 1, out = 1, w_ct =         200, err = 01
yaa! in = 1, out = 1, w_ct =         201, err = 01
yaa! in = 1, out = 1, w_ct =         202, err = 01
yaa! in = 1, out = 1, w_ct =         203, err = 01
yaa! in = 1, out = 1, w_ct =         204, err = 01
yaa! in = 1, out = 1, w_ct =         205, err = 01
yaa! in = 1, out = 1, w_ct =         206, err = 01
yaa! in = 1, out = 1, w_ct =         207, err = 01
yaa! in = 1, out = 1, w_ct =         208, err = 01
yaa! in = 1, out = 1, w_ct =         209, err = 01
yaa! in = 1, out = 1, w_ct =         210, err = 01
yaa! in = 1, out = 1, w_ct =         211, err = 01
yaa! in = 1, out = 1, w_ct =         212, err = 01
yaa! in = 1, out = 1, w_ct =         213, err = 01
yaa! in = 1, out = 1, w_ct =         214, err = 01
yaa! in = 1, out = 1, w_ct =         215, err = 01
yaa! in = 1, out = 1, w_ct =         216, err = 01
yaa! in = 1, out = 1, w_ct =         217, err = 01
yaa! in = 1, out = 1, w_ct =         218, err = 01
yaa! in = 1, out = 1, w_ct =         219, err = 01
yaa! in = 1, out = 1, w_ct =         220, err = 01
yaa! in = 1, out = 1, w_ct =         221, err = 01
yaa! in = 1, out = 1, w_ct =         222, err = 01
yaa! in = 1, out = 1, w_ct =         223, err = 01
yaa! in = 1, out = 1, w_ct =         224, err = 01
yaa! in = 1, out = 1, w_ct =         225, err = 01
yaa! in = 1, out = 1, w_ct =         226, err = 01
yaa! in = 1, out = 1, w_ct =         227, err = 01
yaa! in = 1, out = 1, w_ct =         228, err = 01
yaa! in = 1, out = 1, w_ct =         229, err = 01
yaa! in = 1, out = 1, w_ct =         230, err = 01
yaa! in = 1, out = 1, w_ct =         231, err = 01
yaa! in = 1, out = 1, w_ct =         232, err = 01
yaa! in = 1, out = 1, w_ct =         233, err = 01
yaa! in = 1, out = 1, w_ct =         234, err = 01
yaa! in = 1, out = 1, w_ct =         235, err = 01
yaa! in = 1, out = 1, w_ct =         236, err = 01
yaa! in = 1, out = 1, w_ct =         237, err = 01
yaa! in = 1, out = 1, w_ct =         238, err = 01
yaa! in = 1, out = 1, w_ct =         239, err = 01
yaa! in = 1, out = 1, w_ct =         240, err = 01
yaa! in = 1, out = 1, w_ct =         241, err = 01
yaa! in = 1, out = 1, w_ct =         242, err = 01
yaa! in = 1, out = 1, w_ct =         243, err = 01
yaa! in = 1, out = 1, w_ct =         244, err = 01
yaa! in = 1, out = 1, w_ct =         245, err = 01
yaa! in = 1, out = 1, w_ct =         246, err = 01
yaa! in = 1, out = 1, w_ct =         247, err = 01
yaa! in = 0, out = 0, w_ct =         248, err = 01
yaa! in = 1, out = 1, w_ct =         249, err = 01
yaa! in = 1, out = 1, w_ct =         250, err = 01
yaa! in = 1, out = 1, w_ct =         251, err = 01
yaa! in = 1, out = 1, w_ct =         252, err = 01
yaa! in = 1, out = 1, w_ct =         253, err = 01
yaa! in = 1, out = 1, w_ct =         254, err = 01
yaa! in = 1, out = 1, w_ct =         255, err = 01
corrupted_bits =        1305, OUT: good =         256, bad =           0
Simulation stopped via $stop(1) at time 1045 US + 0
./sim/viterbi_tx_rx_tb.sv:91       $stop;
xcelium> exit
TOOL:	xrun	20.09-s017: Exiting on Mar 14, 2026 at 08:05:21 PDT  (total: 00:00:01)
